#TFM v1.0.8 by tritical
field = bottom
# crc32 = 6838d2be
1499 l + [256]
1500 p - [42]
1501 c - [38]
1502 c - [40]
1503 c - [37]
1504 p - [37]
1505 p - [39]
1506 c - [38]
1507 c - [39]
1508 c - [41]
1509 p - [41]
1510 p - [42]
1511 c - [43]
1512 c - [41]
1513 c - [38]
1514 p + [82]
1515 p - [80]
1516 c - [40]
1517 c - [37]
1518 c - [38]
1519 p - [39]
1520 p - [41]
1521 c - [49]
1522 c - [45]
1523 c - [40]
1524 p - [41]
1525 p - [38]
1526 l + [89]
1527 l + [82]
1528 c - [39]
1529 p + [94]
1530 p - [38]
1531 c - [41]
1532 c - [43]
1533 c - [40]
1534 p - [41]
1535 p - [41]
1536 c - [41]
1537 c - [42]
1538 c - [42]
1539 p - [37]
1540 p - [41]
1541 c - [39]
1542 c - [44]
1543 c - [21]
1544 p + [83]
1545 p - [26]
1546 c - [24]
1547 c - [19]
1548 c - [14]
1549 p - [18]
1550 p - [20]
1551 c - [22]
1552 c - [17]
1553 c - [23]
1554 p - [22]
1555 p - [36]
1556 c - [16]
1557 c - [23]
1558 p - [41]
1559 c - [14]
1560 c - [16]
1561 c - [19]
1562 c - [23]
1563 p - [47]
1564 c - [14]
1565 c - [12]
1566 c - [12]
1567 c - [10]
1568 p - [8]
1569 l + [89]
1570 l + [89]
1571 c - [7]
1572 c - [6]
1573 p - [6]
1574 p - [10]
1575 l + [90]
1576 c - [14]
1577 c - [77]
1578 p - [7]
1579 c - [13]
1580 p - [23]
1581 p + [96]
1582 p - [14]
1583 p - [18]
1584 c - [43]
1585 p - [42]
1586 c - [10]
1587 c - [11]
1588 l + [185]
1589 c - [10]
1590 l + [256]
1591 u - [7]
1592 p - [7]
1593 p + [256]
1594 c - [9]
1595 p + [256]
1596 u - [16]
1597 p - [16]
1598 l + [256]
1599 c - [18]
1600 p + [256]
1601 p + [256]
1602 p - [73]
1603 l + [256]
1604 c - [16]
1605 p + [256]
1606 u - [9]
1607 p - [9]
1608 l + [256]
1609 c - [80]
1610 p + [256]
1611 u - [16]
1612 p - [16]
1613 p + [256]
1614 c - [8]
1615 l + [256]
1616 u - [9]
1617 p - [9]
1618 p + [256]
1619 c - [15]
1620 l + [256]
1621 l + [91]
1622 p - [8]
1623 p - [65]
1624 c - [9]
1625 c - [52]
1626 c - [16]
1627 p - [27]
1628 p - [10]
1629 c - [12]
1630 c - [10]
1631 c - [14]
1632 p - [24]
1633 p + [97]
1634 c - [19]
1635 l + [256]
1636 u - [23]
1637 p - [23]
1638 l + [256]
1639 c - [8]
1640 l + [256]
1641 u - [7]
